genes,Description
Nbe.v1.s00130g22400,1-phosphatidylinositol-3-phosphate 5-kinase FAB1D
Nbe.v1.s00130g22410,1-phosphatidylinositol-3-phosphate 5-kinase FAB1D
Nbe.v1.s00130g22420,-
Nbe.v1.s00130g22430,mTERF
Nbe.v1.s00130g22440,Belongs to the 'GDSL' lipolytic enzyme family
Nbe.v1.s00130g22450,G-type lectin S-receptor-like serine threonine-protein kinase At1g34300
Nbe.v1.s00130g22460,"Nitrate reductase is a key enzyme involved in the first step of nitrate assimilation in plants, fungi and bacteria"
Nbe.v1.s00130g22470,"Acts as a Mg(2 ) transporter. Can also transport other divalent cations such as Fe(2 ), Sr(2 ), Ba(2 ), Mn(2 ) and Co(2 ) but to a much less extent than Mg(2 )"
Nbe.v1.s00130g22490,"Lariat debranching enzyme, C-terminal domain"
Nbe.v1.s00130g22500,gag-polypeptide of LTR copia-type
Nbe.v1.s00130g22510,"Lariat debranching enzyme, C-terminal domain"
Nbe.v1.s00130g22530,Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
Nbe.v1.s00130g22540,Plant organelle RNA recognition domain
Nbe.v1.s00130g22560,"Protein tyrosine phosphatase, catalytic domain"
Nbe.v1.s00130g22580,RNA-binding protein 8A-like
Nbe.v1.s00130g22590,Protein of unknown function (DUF668)
Nbe.v1.s00130g22600,Sucrose transport
Nbe.v1.s00130g22610,protease
Nbe.v1.s00130g22620,"component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation"
Nbe.v1.s00130g22630,Belongs to the GRAS family
Nbe.v1.s00130g22640,Ribonuclease H protein
Nbe.v1.s00130g22650,PIN domain
Nbe.v1.s00130g22660,zinc finger
Nbe.v1.s00130g22670,Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Nbe.v1.s00130g22680,F-box protein
Nbe.v1.s00130g22690,Tetratricopeptide repeat
Nbe.v1.s00130g22700,gag-polypeptide of LTR copia-type
Nbe.v1.s00130g22710,"5'-3' exonuclease, C-terminal SAM fold"
Nbe.v1.s00130g22720,of pyruvate dehydrogenase complex
Nbe.v1.s00130g22730,Leucine Rich Repeat
Nbe.v1.s00130g22750,Leucine Rich Repeat
Nbe.v1.s00130g22760,Leucine-rich repeat receptor-like tyrosine-protein kinase
Nbe.v1.s00130g22770,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g22790,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g22800,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g22810,"Acts as a Mg(2 ) transporter. Can also transport other divalent cations such as Fe(2 ), Sr(2 ), Ba(2 ), Mn(2 ) and Co(2 ) but to a much less extent than Mg(2 )"
Nbe.v1.s00130g22820,-
Nbe.v1.s00130g22830,-
Nbe.v1.s00130g22840,GlcNAc-PI de-N-acetylase
Nbe.v1.s00130g22850,-
Nbe.v1.s00130g22860,Protein of unknown function (DUF616)
Nbe.v1.s00130g22870,mTERF
Nbe.v1.s00130g22880,Gibberellin-regulated protein
Nbe.v1.s00130g22900,Vacuolar protein sorting-associated protein
Nbe.v1.s00130g22910,Belongs to the 'GDSL' lipolytic enzyme family
Nbe.v1.s00130g22950,Ribonuclease H protein
Nbe.v1.s00130g22970,Protein kinase C conserved region 2 (CalB)
Nbe.v1.s00130g22980,No apical meristem (NAM) protein
Nbe.v1.s00130g22990,Conserved gene of
Nbe.v1.s00130g23000,Beta-galactosidase
Nbe.v1.s00130g23010,"8-oxoguanine DNA glycosylase, N-terminal domain"
Nbe.v1.s00130g23020,Metal transporter
Nbe.v1.s00130g23030,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g23050,Pyridine nucleotide-disulphide oxidoreductase
Nbe.v1.s00130g23060,BEST Arabidopsis thaliana protein match is hydroxyproline-rich glycoprotein family protein (TAIR AT1G21695.1)
Nbe.v1.s00130g23070,Rad17 cell cycle checkpoint protein
Nbe.v1.s00130g23080,Belongs to the cyclin family
Nbe.v1.s00130g23090,WD40-like Beta Propeller Repeat
Nbe.v1.s00130g23100,Ring finger domain
Nbe.v1.s00130g23110,amino acid
Nbe.v1.s00130g23130,origin recognition complex
Nbe.v1.s00130g23140,Protein kinase domain
Nbe.v1.s00130g23150,Keratinocyte-associated protein 2
Nbe.v1.s00130g23160,Protein translocase subunit
Nbe.v1.s00130g23170,RING-type zinc-finger
Nbe.v1.s00130g23180,-
Nbe.v1.s00130g23190,Complex I intermediate-associated protein 30 (CIA30)
Nbe.v1.s00130g23200,Belongs to the iron ascorbate-dependent oxidoreductase family
Nbe.v1.s00130g23210,K-box region
Nbe.v1.s00130g23230,HPC2 and ubinuclein domain
Nbe.v1.s00130g23250,-
Nbe.v1.s00130g23260,-
Nbe.v1.s00130g23270,Histone-lysine N-methyltransferase ASHH2-like
Nbe.v1.s00130g23280,Histone-lysine N-methyltransferase ASHH2-like
Nbe.v1.s00130g23290,"Glutathione S-transferase, C-terminal domain"
Nbe.v1.s00130g23330,gag-polypeptide of LTR copia-type
Nbe.v1.s00130g23340,Universal stress protein family
Nbe.v1.s00130g23350,Belongs to the universal ribosomal protein uS8 family
Nbe.v1.s00130g23370,zinc finger
Nbe.v1.s00130g23380,Cyanobacterial and plastid NDH-1 subunit M
Nbe.v1.s00130g23390,-
Nbe.v1.s00130g23410,"Peroxisome biogenesis factor 1, N-terminal"
Nbe.v1.s00130g23420,gag-polypeptide of LTR copia-type
Nbe.v1.s00130g23430,-
Nbe.v1.s00130g23440,UDP-sugar pyrophosphorylase
Nbe.v1.s00130g23450,Possibly involved in carbohydrate binding
Nbe.v1.s00130g23460,Metallothionein-like protein type 2
Nbe.v1.s00130g23470,-
Nbe.v1.s00130g23480,GTP1/OBG
Nbe.v1.s00130g23490,Metallothionein-like protein type 2
Nbe.v1.s00130g23520,Ribonuclease H protein
Nbe.v1.s00130g23530,Ribonuclease H protein
Nbe.v1.s00130g23540,Ethylene insensitive 3
Nbe.v1.s00130g23550,Ethylene insensitive 3
Nbe.v1.s00130g23560,EF-hand domain
Nbe.v1.s00130g23570,EF-hand domain
Nbe.v1.s00130g23580,Putative S-adenosyl-L-methionine-dependent methyltransferase
Nbe.v1.s00130g23590,PHD-finger
Nbe.v1.s00130g23600,Retrotransposon gag protein
Nbe.v1.s00130g23610,Tetratricopeptide repeat
Nbe.v1.s00130g23620,-
Nbe.v1.s00130g23640,Putative S-adenosyl-L-methionine-dependent methyltransferase
Nbe.v1.s00130g23660,Staygreen protein
Nbe.v1.s00130g23680,PPR repeat family
Nbe.v1.s00130g23690,PPR repeat family
Nbe.v1.s00130g23700,TOM1-like protein 2
Nbe.v1.s00130g23720,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g23730,40S ribosomal protein
Nbe.v1.s00130g23740,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g23750,Pentatricopeptide repeat-containing protein At1g43980
Nbe.v1.s00130g23760,Belongs to the peptidase A1 family
Nbe.v1.s00130g23770,2-oxoisovalerate dehydrogenase subunit alpha
Nbe.v1.s00130g23780,Holliday junction DNA helicase ruvB N-terminus
Nbe.v1.s00130g23800,Leucine-rich repeat - CC (cysteine-containing) subfamily
Nbe.v1.s00130g23810,X-domain of DnaJ-containing
Nbe.v1.s00130g23820,Belongs to the EF-1-beta EF-1-delta family
Nbe.v1.s00130g23850,F-box family
Nbe.v1.s00130g23860,phosphatase 2c
Nbe.v1.s00130g23870,DNA RNA polymerases superfamily protein
Nbe.v1.s00130g23890,DNA RNA polymerases superfamily protein
Nbe.v1.s00130g23900,-
Nbe.v1.s00130g23920,Phosphoenolpyruvate phosphomutase
Nbe.v1.s00130g23940,Belongs to the GRAS family
Nbe.v1.s00130g23950,Shwachman-Bodian-Diamond syndrome (SBDS) protein
Nbe.v1.s00130g23960,Protein kinase domain
Nbe.v1.s00130g23980,Transcriptional corepressor SEUSS-like
Nbe.v1.s00130g23990,Transcriptional corepressor SEUSS-like
Nbe.v1.s00130g24000,-
Nbe.v1.s00130g24010,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00130g24020,Mediates both low-affinity uptake and efflux of sugar across the membrane
Nbe.v1.s00130g24030,Mediates both low-affinity uptake and efflux of sugar across the membrane
Nbe.v1.s00130g24040,Mediates both low-affinity uptake and efflux of sugar across the membrane
Nbe.v1.s00130g24050,Mediates both low-affinity uptake and efflux of sugar across the membrane
Nbe.v1.s00130g24060,Pentatricopeptide repeat domain
Nbe.v1.s00130g24070,Pentatricopeptide repeat domain
Nbe.v1.s00130g24080,PsbP
Nbe.v1.s00130g24090,Exostosin family
Nbe.v1.s00130g24100,Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O- methyltransferase family
Nbe.v1.s00130g24110,"Removal of H(2)O(2), oxidation of toxic reductants, biosynthesis and degradation of lignin, suberization, auxin catabolism, response to environmental stresses such as wounding, pathogen attack and oxidative stress"
Nbe.v1.s00130g24120,transcription elongation factor SPT5 homolog 1
Nbe.v1.s00130g24130,Histone H2B
Nbe.v1.s00130g24150,Acyl- acyl-carrier-protein desaturase
Nbe.v1.s00130g24160,"Tesmin/TSO1-like CXC domain, cysteine-rich domain"
Nbe.v1.s00130g24180,Maltose excess protein
Nbe.v1.s00130g24190,proline-rich receptor-like protein kinase
Nbe.v1.s00130g24200,GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p
Nbe.v1.s00130g24210,Belongs to the peptidase S10 family
Nbe.v1.s00130g24220,Transposon MuDR mudrA
Nbe.v1.s00130g24240,Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Nbe.v1.s00130g24250,Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Nbe.v1.s00130g24260,Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Nbe.v1.s00130g24270,zinc finger
Nbe.v1.s00130g24280,Belongs to the glycosyltransferase 8 family
Nbe.v1.s00130g24300,Ribonuclease H protein
Nbe.v1.s00130g24310,Predicted integral membrane zinc-ribbon metal-binding protein
Nbe.v1.s00130g24320,Belongs to the STXBP unc-18 SEC1 family
Nbe.v1.s00130g24330,"transposition, RNA-mediated"
Nbe.v1.s00130g24340,Organic solute transporter Ostalpha
Nbe.v1.s00130g24360,Pathogen-related protein-like
Nbe.v1.s00130g24370,Pathogen-related protein-like
Nbe.v1.s00130g24380,Belongs to the glycosyl hydrolase 9 (cellulase E) family
Nbe.v1.s00130g24390,Glycolipid transfer protein (GLTP)
Nbe.v1.s00130g24400,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00130g24410,Redoxin
Nbe.v1.s00130g24420,Leucine Rich Repeat
Nbe.v1.s00130g24480,ABC-2 family transporter protein
Nbe.v1.s00130g24490,spliceosomal complex assembly
Nbe.v1.s00130g24500,spliceosomal complex assembly
Nbe.v1.s00130g24520,Protein of unknown function (DUF3752)
Nbe.v1.s00130g24550,NAC domain-containing protein
Nbe.v1.s00130g24570,SNARE associated Golgi protein
Nbe.v1.s00130g24580,Calcium-dependent protein kinase
Nbe.v1.s00130g24600,AMP-binding enzyme
Nbe.v1.s00130g24620,Ribosomal protein L25
Nbe.v1.s00130g24630,Belongs to the peroxidase family
Nbe.v1.s00130g24640,Lysin motif
Nbe.v1.s00130g24650,Filament-like plant protein
Nbe.v1.s00130g24670,-
Nbe.v1.s00130g24680,Pheophorbide a oxygenase
Nbe.v1.s00130g24690,BTB POZ domain-containing protein
Nbe.v1.s00130g24700,Transporter
Nbe.v1.s00130g24710,-
Nbe.v1.s00130g24720,-
Nbe.v1.s00130g24730,Small glutamine-rich tetratricopeptide repeat-containing protein isoform X1
Nbe.v1.s00130g24740,Catalyzes the formation of 5-oxoproline from gamma- glutamyl dipeptides and plays a significant role in glutathione (GSH) homeostasis
Nbe.v1.s00130g24750,Histone chaperone domain CHZ
Nbe.v1.s00130g24810,-
Nbe.v1.s00130g24820,K02A2.6-like
Nbe.v1.s00130g24830,"transposition, RNA-mediated"
Nbe.v1.s00130g24840,"transposition, RNA-mediated"
Nbe.v1.s00130g24870,EamA-like transporter family
Nbe.v1.s00130g24880,Transmembrane emp24 domain-containing protein
Nbe.v1.s00130g24890,Belongs to the glutaredoxin family
Nbe.v1.s00130g24910,40S ribosomal protein
Nbe.v1.s00130g24930,Abscisic stress-ripening protein
Nbe.v1.s00130g24940,Set domain
Nbe.v1.s00130g24950,Rft protein
Nbe.v1.s00130g24970,21 kDa protein-like
Nbe.v1.s00130g25000,"Thioredoxin Y1, chloroplastic"
Nbe.v1.s00130g25010,Conserved oligomeric Golgi complex
Nbe.v1.s00130g25020,PAP2 superfamily C-terminal
Nbe.v1.s00130g25030,UDP-glucoronosyl and UDP-glucosyl transferase
Nbe.v1.s00130g25040,UDP-glucoronosyl and UDP-glucosyl transferase
Nbe.v1.s00130g25050,basic region leucin zipper
Nbe.v1.s00130g25060,-
Nbe.v1.s00130g25070,Protein BYPASS1-related
Nbe.v1.s00130g25080,Belongs to the TUB family
Nbe.v1.s00130g25090,chloroplast organization
Nbe.v1.s00130g25110,Plant mobile domain
Nbe.v1.s00130g25130,"transposition, RNA-mediated"
Nbe.v1.s00130g25150,glycine rich nucleic binding domain
Nbe.v1.s00130g25160,EamA-like transporter family
Nbe.v1.s00130g25180,Pyridine nucleotide-disulphide oxidoreductase
Nbe.v1.s00130g25190,Myb/SANT-like DNA-binding domain
Nbe.v1.s00130g25200,Exocyst complex component Sec5
Nbe.v1.s00130g25210,"Fructose-1-6-bisphosphatase, N-terminal domain"
Nbe.v1.s00130g25230,-
Nbe.v1.s00130g25240,DUF4205
Nbe.v1.s00130g25250,CDK-activating kinase assembly factor MAT1
Nbe.v1.s00130g25260,Histone H3
Nbe.v1.s00130g25270,Histone H3
Nbe.v1.s00130g25280,Plant organelle RNA recognition domain
Nbe.v1.s00130g25290,Uncharacterized conserved protein
Nbe.v1.s00130g25300,Belongs to the actin family
Nbe.v1.s00130g25310,Belongs to the actin family
Nbe.v1.s00130g25320,VIT family
Nbe.v1.s00130g25330,Sugar transport protein
Nbe.v1.s00130g25340,Sugar transport protein
Nbe.v1.s00130g25350,Sugar transport protein
Nbe.v1.s00130g25360,domain in FBox and BRCT domain containing plant proteins
Nbe.v1.s00130g25380,Reverse transcriptase-like
Nbe.v1.s00130g25390,basic region leucin zipper
Nbe.v1.s00130g25410,Cytochrome p450
Nbe.v1.s00130g25420,Pyridoxal-dependent decarboxylase conserved domain
Nbe.v1.s00130g25430,A Receptor for Ubiquitination Targets
Nbe.v1.s00130g25440,Domain of unknown function (DUF4283)
Nbe.v1.s00130g25450,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00130g25460,Domain of unknown function (DUF4283)
Nbe.v1.s00130g25470,"Tyrosine kinase, catalytic domain"
Nbe.v1.s00130g25480,Zinc finger protein
Nbe.v1.s00130g25510,Extensin-like region
Nbe.v1.s00130g25520,-
Nbe.v1.s00130g25530,GRF zinc finger
Nbe.v1.s00130g25540,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
Nbe.v1.s00130g25560,Ribonuclease H protein
Nbe.v1.s00130g25590,Pleckstrin homology domain
Nbe.v1.s00130g25610,Belongs to the mitochondrial carrier (TC 2.A.29) family
Nbe.v1.s00130g25620,Legume lectin domain
Nbe.v1.s00130g25630,E4 E8 binding protein-1
Nbe.v1.s00130g25640,Belongs to the terpene cyclase mutase family
Nbe.v1.s00130g25650,VQ motif
Nbe.v1.s00130g25660,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00130g25670,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00130g25680,ABC-2 family transporter protein
Nbe.v1.s00130g25700,"Dof domain, zinc finger"
Nbe.v1.s00130g25720,YGGT family
Nbe.v1.s00130g25740,Ribosomal protein L1p/L10e family
Nbe.v1.s00130g25760,Survival motor neuron (SMN) interacting protein 1 (SIP1)
Nbe.v1.s00130g25770,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g25780,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g25790,HEAT repeat associated with sister chromatid cohesion
Nbe.v1.s00130g25800,"Uncharacterized ACR, COG1399"
Nbe.v1.s00130g25810,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
Nbe.v1.s00130g25820,Serine threonine-protein kinase
Nbe.v1.s00130g25830,metalloendopeptidase activity
Nbe.v1.s00130g25840,Transporter
Nbe.v1.s00130g25850,ATPase family associated with various cellular activities (AAA)
Nbe.v1.s00130g25860,Histone-like transcription factor (CBF/NF-Y) and archaeal histone
Nbe.v1.s00130g25870,Nucleolin
Nbe.v1.s00130g25880,Acts in the modification of cell walls via demethylesterification of cell wall pectin
Nbe.v1.s00130g25890,DNA RNA polymerases superfamily protein
Nbe.v1.s00130g25900,Rapid ALkalinization Factor (RALF)
Nbe.v1.s00130g25920,"SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains"
Nbe.v1.s00130g25940,POT family
Nbe.v1.s00130g25950,-
Nbe.v1.s00130g25960,-
Nbe.v1.s00130g25970,E3 ubiquitin ligase BIG
Nbe.v1.s00130g25980,60S acidic ribosomal protein
Nbe.v1.s00130g25990,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of ATP and thus represents the only step of substrate- level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit"
Nbe.v1.s00130g26000,Mitosis protein DIM1
Nbe.v1.s00130g26010,4Fe-4S single cluster domain of Ferredoxin I
Nbe.v1.s00130g26020,DYW family of nucleic acid deaminases
Nbe.v1.s00130g26030,DYW family of nucleic acid deaminases
Nbe.v1.s00130g26040,cytochrome P450
Nbe.v1.s00130g26050,Belongs to the peptidase S10 family
Nbe.v1.s00130g26060,SWI SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD H box 1 isoform X1
Nbe.v1.s00130g26090,ATP-dependent Clp protease proteolytic subunit
Nbe.v1.s00130g26100,ATP-dependent Clp protease proteolytic subunit
Nbe.v1.s00130g26110,-
Nbe.v1.s00130g26120,Domain of unknown function (DUF4283)
Nbe.v1.s00130g26130,Exostosin family
Nbe.v1.s00130g26140,Exostosin family
Nbe.v1.s00130g26150,Importin-beta N-terminal domain
Nbe.v1.s00130g26170,Photosystem II stability assembly factor
Nbe.v1.s00130g26190,Conserved gene of
Nbe.v1.s00130g26200,RPR
Nbe.v1.s00130g26240,RNase H family protein
Nbe.v1.s00130g26250,RNase H family protein
Nbe.v1.s00130g26260,Carbohydrate binding domain CBM49
Nbe.v1.s00130g26270,Pentatricopeptide repeat domain
Nbe.v1.s00130g26280,"agl61,dia"
Nbe.v1.s00130g26290,isocitrate dehydrogenase (NAD+) activity
Nbe.v1.s00130g26300,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g26310,Ribonuclease H protein
Nbe.v1.s00130g26320,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Nbe.v1.s00130g26360,EF-hand domain pair
Nbe.v1.s00130g26370,-
Nbe.v1.s00130g26380,Divergent PAP2 family
Nbe.v1.s00130g26390,SNF2 family N-terminal domain
Nbe.v1.s00130g26400,Protein of unknown function (DUF3537)
Nbe.v1.s00130g26410,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00130g26420,-
Nbe.v1.s00130g26430,Ribonuclease H protein
Nbe.v1.s00130g26460,Peptidase family M3
Nbe.v1.s00130g26470,F-Box protein
Nbe.v1.s00130g26490,May participate in a complex which severs microtubules in an ATP-dependent manner. Microtubule severing may promote rapid reorganization of cellular microtubule arrays
Nbe.v1.s00130g26510,RNA splicing
Nbe.v1.s00130g26520,protein ubiquitination
Nbe.v1.s00130g26550,"Pyruvate kinase, alpha/beta domain"
Nbe.v1.s00130g26560,-
Nbe.v1.s00130g26570,Kelch motif
Nbe.v1.s00130g26580,catalytic domain of ctd-like phosphatases
Nbe.v1.s00130g26590,-
Nbe.v1.s00130g26600,Armadillo/beta-catenin-like repeat
Nbe.v1.s00130g26630,Actin
Nbe.v1.s00130g26650,-
Nbe.v1.s00130g26660,Glycosyltransferase family 17
Nbe.v1.s00130g26700,"The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH"
Nbe.v1.s00130g26720,Ribosomal L39 protein
Nbe.v1.s00130g26740,"Serine/threonine phosphatases, family 2C, catalytic domain"
Nbe.v1.s00130g26750,-
Nbe.v1.s00130g26760,Protein of unknown function (DUF493)
Nbe.v1.s00130g26770,SBP domain
Nbe.v1.s00130g26790,Ribose-phosphate pyrophosphokinase
Nbe.v1.s00130g26850,anthranilate phosphoribosyltransferase
Nbe.v1.s00130g26860,Belongs to the protein kinase superfamily. Ser Thr protein kinase family
Nbe.v1.s00130g26870,ATP-citrate synthase alpha chain protein
Nbe.v1.s00130g26880,Signal recognition particle receptor beta subunit
Nbe.v1.s00130g26890,PPR repeat family
Nbe.v1.s00130g26900,PPR repeat family
Nbe.v1.s00130g26920,Acid phosphatase homologues
Nbe.v1.s00130g26930,AMSH-like ubiquitin
Nbe.v1.s00130g26940,AMSH-like ubiquitin
Nbe.v1.s00130g26950,Protein of unknown function (DUF1645)
Nbe.v1.s00130g26960,Sulfotransferase domain
Nbe.v1.s00130g26990,Belongs to the glycosyl hydrolase 1 family
Nbe.v1.s00130g27000,Belongs to the spermidine spermine synthase family
Nbe.v1.s00130g27010,TCP family transcription factor
Nbe.v1.s00130g27020,Potassium transporter
Nbe.v1.s00130g27030,Potassium transporter
Nbe.v1.s00130g27040,Potassium transporter
Nbe.v1.s00130g27050,AP-1 complex subunit gamma-2-like isoform X1
Nbe.v1.s00130g27100,WAT1-related protein At1g70260-like
Nbe.v1.s00130g27110,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g27140,Anticodon-binding domain
Nbe.v1.s00130g27150,FAD dependent oxidoreductase
Nbe.v1.s00130g27160,Domain of unknown function (DUF4228)
Nbe.v1.s00130g27180,RNase H
Nbe.v1.s00130g27190,-
Nbe.v1.s00130g27210,Zinc finger protein
Nbe.v1.s00130g27240,"WD domain, G-beta repeat"
Nbe.v1.s00130g27250,Belongs to the peptidase M10A family
Nbe.v1.s00130g27270,cheY-homologous receiver domain
Nbe.v1.s00130g27280,-
Nbe.v1.s00130g27300,Belongs to the glycosyltransferase 8 family
Nbe.v1.s00130g27320,"Cofactor assembly of complex C subunit B, CCB2/CCB4"
Nbe.v1.s00130g27340,"SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains"
Nbe.v1.s00130g27350,serine threonine-protein phosphatase
Nbe.v1.s00130g27360,Protein of unknown function (DUF1336)
Nbe.v1.s00130g27370,Exocyst component 84 C-terminal
Nbe.v1.s00130g27380,dnaJ homolog subfamily B member
Nbe.v1.s00130g27390,-
Nbe.v1.s00130g27400,Homeobox associated leucine zipper
Nbe.v1.s00130g27420,Protein NRT1 PTR FAMILY 4.6-like
Nbe.v1.s00130g27430,Domain of unknown function (DUF1929)
Nbe.v1.s00130g27440,belongs to the protein kinase superfamily
Nbe.v1.s00130g27450,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g27460,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g27470,F-box kelch-repeat protein SKIP11-like
Nbe.v1.s00130g27480,transcription factor
Nbe.v1.s00130g27500,Voltage-dependent anion channel
Nbe.v1.s00130g27510,Mitochondrial carrier protein
Nbe.v1.s00130g27520,Cyclic dof factor 1-like
Nbe.v1.s00130g27540,No apical meristem (NAM) protein
Nbe.v1.s00130g27550,Sec7 domain
Nbe.v1.s00130g27560,26S proteasome non-ATPase regulatory subunit 11 homolog
Nbe.v1.s00130g27570,-
Nbe.v1.s00130g27580,-
Nbe.v1.s00130g27590,Domain of unknown function (DUF1985)
Nbe.v1.s00130g27600,Amino acid kinase family
Nbe.v1.s00130g27610,eukaryotic translation initiation factor
Nbe.v1.s00130g27620,Plant protein of unknown function (DUF863)
Nbe.v1.s00130g27630,PAX3- and PAX7-binding protein
Nbe.v1.s00130g27640,-
Nbe.v1.s00130g27650,Protein GDAP2 homolog
Nbe.v1.s00130g27660,G-quadruplex DNA unwinding
Nbe.v1.s00130g27670,-
Nbe.v1.s00130g27680,"Remorin, C-terminal region"
Nbe.v1.s00130g27690,Pentatricopeptide repeat domain
Nbe.v1.s00130g27700,"Purple acid Phosphatase, N-terminal domain"
Nbe.v1.s00130g27710,C2H2-type zinc finger
Nbe.v1.s00130g27720,methyltransferase
Nbe.v1.s00130g27730,PPR repeat
Nbe.v1.s00130g27740,Possibly involved in carbohydrate binding
Nbe.v1.s00130g27750,-
Nbe.v1.s00130g27760,Belongs to the protein kinase superfamily. Ser Thr protein kinase family
Nbe.v1.s00130g27770,Putative nuclear localisation signal
Nbe.v1.s00130g27800,isoform X1
Nbe.v1.s00130g27810,Protein of unknown function (DUF 659)
Nbe.v1.s00130g27820,Protein of unknown function (DUF 659)
Nbe.v1.s00130g27830,"Alpha-1,4-glucan-protein synthase UDP-forming"
Nbe.v1.s00130g27840,Translin family
Nbe.v1.s00130g27850,Uncharacterized protein K02A2.6-like
Nbe.v1.s00130g27860,D-aminoacyl-tRNA deacylase
Nbe.v1.s00130g27870,isoform X1
Nbe.v1.s00130g27880,Transcription factor
Nbe.v1.s00130g27890,"transposition, RNA-mediated"
Nbe.v1.s00130g27900,Ethanolamine-phosphate cytidylyltransferase-like
Nbe.v1.s00130g27910,Phosphatidylinositol 3- and 4-kinase
Nbe.v1.s00130g27920,-
Nbe.v1.s00130g27950,Retroviral aspartyl protease
Nbe.v1.s00130g27960,DNA (Cytosine-5)-methyltransferase DRM2-like
Nbe.v1.s00130g27970,Transcription factor
Nbe.v1.s00130g27990,Middle domain of thiamine pyrophosphate
Nbe.v1.s00130g28010,Middle domain of thiamine pyrophosphate
Nbe.v1.s00130g28020,basic region leucin zipper
Nbe.v1.s00130g28030,"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH"
Nbe.v1.s00130g28040,"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH"
Nbe.v1.s00130g28050,-
Nbe.v1.s00130g28090,F-box FBD LRR-repeat protein At1g13570-like
Nbe.v1.s00130g28100,"transposition, RNA-mediated"
Nbe.v1.s00130g28110,domain in FBox and BRCT domain containing plant proteins
Nbe.v1.s00130g28120,Belongs to the protein kinase superfamily. Ser Thr protein kinase family
Nbe.v1.s00130g28150,-
Nbe.v1.s00130g28160,E3 ubiquitin-protein ligase
Nbe.v1.s00130g28180,Reverse transcriptase-like
Nbe.v1.s00130g28190,"transposition, RNA-mediated"
Nbe.v1.s00130g28210,calcium-binding protein
Nbe.v1.s00130g28220,Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Nbe.v1.s00130g28230,Isoprenylcysteine alpha-carbonyl methylesterase
Nbe.v1.s00130g28240,ABC transporter G family member
Nbe.v1.s00130g28250,Phosphoenolpyruvate carboxylase
Nbe.v1.s00130g28260,Transcription factor
Nbe.v1.s00130g28290,Plant non-specific lipid-transfer proteins transfer phospholipids as well as galactolipids across membranes. May play a role in wax or cutin deposition in the cell walls of expanding epidermal cells and certain secretory tissues
Nbe.v1.s00130g28300,B3 DNA binding domain
